indicator,Sea surface temperature ,Sea surface temperature ,Sea surface temperature 
units ,standardized monthly anomaly,standardized monthly anomaly,standardized monthly anomaly
extent,western subregion,central subregion,eastern subregion
Jan1998,-1.115735029,-0.364835751,-1.025853194
Feb1998,-0.750703666,-0.1676926,-0.687413514
Mar1998,-0.509153131,-0.104056674,-0.206774415
Apr1998,-0.27059226,-0.015822422,0.030372728
May1998,0.076292532,-0.004674395,0.420396669
Jun1998,0.291392725,0.061639165,0.38541386
Jul1998,0.606357994,0.285010466,0.518552794
Aug1998,0.682249545,0.337588165,0.599749366
Sep1998,0.887767807,0.526697078,0.631447232
Oct1998,0.777241751,0.490088138,0.610786698
Nov1998,0.798418141,0.582028386,0.702709076
Dec1998,0.922512434,0.746560123,0.981647426
Jan1999,0.916967097,0.769283218,1.142983839
Feb1999,0.818664037,0.852405939,0.978636942
Mar1999,0.70080812,0.740207,0.780316283
Apr1999,0.527427855,0.622775805,0.640772668
May1999,0.424741453,0.384510268,0.538344489
Jun1999,0.438763607,0.236304758,0.550667552
Jul1999,0.201735004,0.021135628,0.356993499
Aug1999,0.302058826,-0.007800882,0.42463998
Sep1999,0.241061225,-0.081932716,0.349748621
Oct1999,0.484486854,0.121245528,0.374602667
Nov1999,0.55235042,0.423887649,0.225197642
Dec1999,0.709331926,0.829578411,0.390175975
Jan2000,0.865122279,1.124367125,0.463848368
Feb2000,0.824231132,1.212926954,0.574540515
Mar2000,0.790776043,1.115613026,0.657417675
Apr2000,0.720641805,0.752217405,0.678366256
May2000,0.548361604,0.364991617,0.700279563
Jun2000,0.435700641,0.02803272,0.530914374
Jul2000,0.439330147,-0.272539805,0.568209008
Aug2000,0.551268081,-0.417894193,0.60313108
Sep2000,0.446514223,-0.338654949,0.508173005
Oct2000,0.364007871,-0.218537364,0.280328273
Nov2000,0.522692035,0.021539819,0.259648414
Dec2000,0.470170593,0.04433993,0.142311228
Jan2001,0.599933525,0.210736394,0.07491846
Feb2001,0.474055269,0.249826231,-0.170924799
Mar2001,0.359998801,0.255245876,-0.084071362
Apr2001,0.345308349,0.41734871,-0.062833127
May2001,0.119052344,0.207960902,-0.304498886
Jun2001,0.096924354,0.047649681,-0.200865492
Jul2001,-0.296927888,-0.263985883,-0.511845729
Aug2001,-0.30262221,-0.371169058,-0.522909034
Sep2001,0.079012453,-0.197056272,-0.414112065
Oct2001,0.12965331,-0.319183406,-0.279930729
Nov2001,0.38031159,-0.190227707,-0.045676869
Dec2001,0.474334253,-0.14467368,-0.04991294
Jan2002,0.930617203,0.290465493,0.500285716
Feb2002,1.09448348,0.543100662,0.826957475
Mar2002,0.805941367,0.533099582,0.515303335
Apr2002,0.716959363,0.585428059,0.30023303
May2002,0.512570775,0.598900641,0.174830537
Jun2002,0.240086334,0.513429637,0.060940583
Jul2002,-0.068569834,0.266796952,0.049858327
Aug2002,-0.314054595,0.065500023,-0.021585559
Sep2002,-0.507275061,-0.330692028,-0.062881038
Oct2002,-0.767277825,-0.609456646,-0.103757392
Nov2002,-0.97430617,-0.836824044,-0.214118551
Dec2002,-0.920205949,-0.81882139,-0.012194459
Jan2003,-0.969634583,-0.951899802,-0.28270722
Feb2003,-0.772435216,-0.803454932,-0.217103452
Mar2003,-0.572029693,-0.473430448,0.005235021
Apr2003,-0.565889392,-0.142816482,0.239973996
May2003,-0.40890955,0.050962002,0.369791668
Jun2003,-0.347399636,0.145609995,0.205172963
Jul2003,-0.371400017,0.154893762,0.27915057
Aug2003,-0.359167374,0.227229119,0.388000929
Sep2003,-0.420249855,0.086039801,0.325311327
Oct2003,-0.2254361,-0.198433893,0.347996827
Nov2003,-0.196427148,-0.366316339,0.315713011
Dec2003,-0.104378141,-0.254349692,0.333304292
Jan2004,0.02227039,-0.008113159,0.156587912
Feb2004,-0.306742849,-0.290132411,-0.212631577
Mar2004,-0.080266896,-0.223744607,0.079520733
Apr2004,0.164145976,0.08713346,0.212264536
May2004,0.185383319,0.321101679,0.287750807
Jun2004,0.148733286,0.413009141,-0.041160118
Jul2004,0.248190771,0.592471311,-0.078956977
Aug2004,0.695950908,1.137410364,0.157432457
Sep2004,0.724916287,1.425882211,-0.10125333
Oct2004,0.768565582,1.515938124,-0.2740199
Nov2004,1.05161541,1.546788201,-0.227421413
Dec2004,1.101701744,1.455593725,0.143180963
Jan2005,0.977334172,1.250582013,0.181897524
Feb2005,0.794672801,0.715359509,-0.122607879
Mar2005,0.709069456,0.556886571,-0.300651396
May2005,0.481435337,0.706277109,-0.417559915
Jun2005,0.471602422,0.94216061,-0.411779096
Jul2005,0.474497887,1.108541324,-0.63266033
Aug2005,0.709126718,1.304245872,-0.403038012
Sep2005,0.682793549,1.638701774,-0.250717853
Oct2005,0.584144799,1.756856288,-0.198098516
Nov2005,0.665044144,1.737171669,-0.102813814
Dec2005,0.554096222,1.644574729,-0.167152127
Jan2006,0.700713185,1.593100739,0.080898012
Feb2006,0.727120299,1.538031487,0.113907728
Mar2006,0.697965887,1.400944913,0.044364619
Apr2006,0.773113084,1.152443334,0.089528318
May2006,0.744285984,0.91947732,0.181579593
Jun2006,0.721678099,0.763554813,0.463869868
Jul2006,0.620355025,0.534536081,0.748343686
Aug2006,0.49613767,0.385936336,0.813194983
Sep2006,0.368982198,0.209332632,0.722512141
Oct2006,0.339656835,0.295788161,0.761506062
Nov2006,0.506695866,0.143630298,0.871794753
Dec2006,0.387857562,-0.019568081,0.600801081
Jan2007,0.312622848,-0.004166114,0.332049842
Feb2007,0.157443956,-0.127569773,0.236471949
Mar2007,0.173681494,-0.076777806,0.268604726
Apr2007,0.064530169,-0.238897106,0.151258089
May2007,-0.232305696,-0.501755426,0.003570502
Jun2007,-0.17566563,-0.348548937,0.109480419
Jul2007,-0.059306566,-0.172271718,0.281202407
Aug2007,0.122886701,0.121069622,0.333059615
Sep2007,0.289433196,0.176388184,0.469080555
Oct2007,0.643858264,0.30415589,0.72760125
Nov2007,0.900341303,0.600452846,0.795497687
Dec2007,1.08721379,0.541753934,0.915920725
Jan2008,1.009710027,0.391644318,0.611105932
Feb2008,1.016158967,0.31651259,0.452251824
Mar2008,0.898292249,0.400405176,0.251194834
Apr2008,0.732199256,0.419748091,0.256121578
May2008,0.543560249,0.237408004,0.154248855
Jun2008,0.089419849,0.040319702,-0.332559393
Jul2008,-0.496028174,-0.138642535,-0.464128141
Aug2008,-0.778834605,-0.330496092,-0.580559836
Sep2008,-0.842842216,-0.495215461,-0.625298804
Oct2008,-1.003650527,-0.514295448,-0.902196467
Nov2008,-0.807082314,-0.250568735,-0.852452127
Dec2008,-0.40547467,0.142006692,-0.694926703
Jan2009,0.27943166,0.56958938,-0.478625707
Feb2009,0.360334971,0.666398057,-0.450637287
Mar2009,0.502176979,0.892968476,-0.289363726
Apr2009,0.548125333,0.852383607,-0.166928943
May2009,0.549104518,0.919688901,-0.18250524
Jun2009,0.546028687,0.799453517,-0.001590851
Jul2009,0.557713435,0.735081204,0.123478788
Aug2009,0.888121757,0.865866241,0.494680338
Sep2009,0.687513977,0.559409204,0.549563449
Oct2009,0.501773093,0.201659214,0.493840307
Nov2009,0.104922735,-0.324909047,0.22922506
Dec2009,-0.396615864,-0.765154177,-0.238614121
Jan2010,-1.026623879,-1.366277731,-0.844965611
Mar2010,-1.568278903,-1.624822489,-1.436691293
Apr2010,-1.332792325,-1.432900429,-1.448991079
May2010,-0.761272676,-0.835954139,-1.018058913
Jun2010,-0.420832264,-0.184025942,-0.639106318
Jul2010,0.163838801,0.462838049,-0.012529542
